Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
1000001021;TIM;RS;Bossoroca;CENTRO;RUA DR ALVES VALENÇA, S/N, ;-28.72917;-54.9075;4302501;Greenfield ;2G 4G ;700 900 1800 
1000001030;TIM;RS;Capão da Canoa;CAPAO NOVO;AVENIDA DAS GAIVOTAS, 4360, ;-29.687642;-49.979994;4304630;Greenfield ;2G 3G 4G 5G ;1800 2100 3500 
1000001110;TIM;GO;Abadia de Goiás;Parque Isabel;Rua Jk, S/N, Qd 01 Lt 08;-16.760139;-49.437556;5200050;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 3500 
1000001366;TIM;RS;Santo Cristo;CENTRO;RUA VEREADOR MEURER, 323, ;-27.821944;-54.666111;4317905;Greenfield ;2G 4G ;700 900 1800 
1000001463;TIM;GO;Ipameri;CENTRO;RUA 8, S/N, ;-17.722678;-48.157339;5210109;Greenfield ;2G 4G ;900 1800 
1000001480;TIM;MT;Guarantã do Norte;CENTRO;Rua Inhare, S/N, Qd. 47 Esquina Com A Dos Cedros Lt 18;-9.952166;-54.909972;5104104;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 3500 
1000001986;CLARO;SP;São Paulo;LAUZANE PAULISTA;R CONSELHEIRO MOREIRA DE BARROS, 2780, SHOPPING SANTANA PARQUE;-23.48298;-46.64489;3550308;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
1000001994;CLARO;PR;Ipiranga;CENTRO;R ALCIDES MACEDO, S/N, LOTE 07 - QUADRA 05 / ESQUINA COM PREFEITO ANTONIO C. OLIVEIRA;-25.02189;-50.58071;4110508;Greenfield ;2G 3G 4G ;700 900 1800 2100 
1000002338;TIM;MG;Juiz de Fora;BANDEIRANTES;Rua Mozart Rodrigues Da Silva, 25, -;-21.723361;-43.3565;3136702;;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000002389;VIVO;RO;Ministro Andreazza;CENTRO;RUA MARTIN LUTÉRO º, S/N, ;-11.197478;-61.518878;1101203;Greenfield ;2G 3G 4G ;700 850 2100 2500 
