Prestadora,CNPJ,Número da Estação,Tipo da Estação,UF,Código da UF,Município,Código do Município,Logradouro,Latitude,Longitude,Frequência Inicial (MHz),Frequência Final (MHz),Azimute,Emissão
TELEFÔNICA BRASIL S.A.,02558157000162,3565,FB,RS,43,Rio Grande,4315602,"Rua Duque de Caxias,298,Centro",-32.0339722222221666,-52.0971222222221666,890.00000000,891.50000000,160.0,1M25F9W
TELEFÔNICA BRASIL S.A.,02558157000162,3565,FB,RS,43,Rio Grande,4315602,"Rua Duque de Caxias,298,Centro",-32.0339722222221666,-52.0971222222221666,890.00000000,891.50000000,120.0,5M00G7W
TELEFÔNICA BRASIL S.A.,02558157000162,3565,FB,RS,43,Rio Grande,4315602,"Rua Duque de Caxias,298,Centro",-32.0339722222221666,-52.0971222222221666,890.00000000,891.50000000,280.0,1M25F9W
TELEFÔNICA BRASIL S.A.,02558157000162,3565,FB,RS,43,Rio Grande,4315602,"Rua Duque de Caxias,298,Centro",-32.0339722222221666,-52.0971222222221666,890.00000000,891.50000000,240.0,5M00G7W
TELEFÔNICA BRASIL S.A.,02558157000162,3565,FB,RS,43,Rio Grande,4315602,"Rua Duque de Caxias,298,Centro",-32.0339722222221666,-52.0971222222221666,890.00000000,891.50000000,40.0,1M25F9W
TELEFÔNICA BRASIL S.A.,02558157000162,3565,FB,RS,43,Rio Grande,4315602,"Rua Duque de Caxias,298,Centro",-32.0339722222221666,-52.0971222222221666,890.00000000,891.50000000,.0,5M00G7W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,1830.00000000,1832.50000000,330.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,869.00000000,880.00000000,200.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,890.00000000,891.50000000,90.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,890.00000000,891.50000000,320.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,890.00000000,891.50000000,320.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,1825.00000000,1827.50000000,90.0,200KG7W
