1000001021	TIM	RS	Bossoroca	CENTRO	RUA DR ALVES VALENCA, S N,	-2.872.917	-549.075	4302501	Greenfield 	2G - 4G	700 - 900 - 1800
1000001030	TIM	RS	Capao da Canoa	CAPAO NOVO	AVENIDA DAS GAIVOTAS, 4360,	-29.687.642	-49.979.994	4304630	Greenfield 	2G - 3G - 4G - 5G	1800 - 2100 - 3500
1000001110	TIM	GO	Abadia de Goias	PARQUE ISABEL	RUA JK, S N, QD 01 LT 08	-16.760.139	-49.437.556	5200050	Greenfield 	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 3500
1000001366	TIM	RS	Santo Cristo	CENTRO	RUA VEREADOR MEURER, 323,	-27.821.944	-54.666.111	4317905	Greenfield 	2G - 4G	700 - 900 - 1800
1000001463	TIM	GO	Ipameri	CENTRO	RUA 8, S N,	-17.722.678	-48.157.339	5210109	Greenfield 	2G - 4G	900 - 1800
1000001480	TIM	MT	Guaranta do Norte	CENTRO	Rua Inhare, S N, Qd. 47 Esquina Com A Dos Cedros Lt 18	-9.952.166	-54.909.972	5104104	Greenfield 	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 3500
1000001986	CLARO	SP	Sao Paulo	LAUZANE PAULISTA	R CONSELHEIRO MOREIRA DE BARROS, 2780, SHOPPING SANTANA PARQUE	-2.348.298	-4.664.489	3550308	Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2300 - 2500 - 3500
1000001994	CLARO	PR	Ipiranga	CENTRO	R ALCIDES MACEDO, S N, LOTE 07 - QUADRA 05 ESQUINA COM PREFEITO ANTONIO C. OLIVEIRA	-2.502.189	-5.058.071	4110508	Greenfield 	2G - 3G - 4G	700 - 900 - 1800 - 2100
1000002338	TIM	MG	Juiz de Fora	BANDEIRANTES	Rua Mozart Rodrigues Da Silva, 25, -	-21.723.361	-433.565	3136702	Nao Informada	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000002389	VIVO	RO	Ministro Andreazza	CENTRO	RUA MARTIN LUTERO , S N,	-11.197.478	-61.518.878	1101203	Greenfield 	2G - 3G - 4G	700 - 850 - 2100 - 2500
1000002397	CLARO	PB	Joao Pessoa	Mangabeira	RUA MONSENHOR ARLINDO BEZERRA CAMBOIM, S N, QUADRA 01, LOTE 08	-718.908	-348.377	2507507	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000002990	VIVO	PR	Toledo	(vazio)	RUA ENGENHEIRO REBOUCAS ,16,WALTER FONTANA, ,	-2.474.361	-5.372.306	4127700	Nao Informada	2G	850
1000003067	TIM	BA	Salvador	CAMPINAS DE PIRAJA	LOTEAMENTO PORTO SECO PIRAJA, 7, QUADRA A	-12.910.475	-38.457.175	2927408	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000004926	CLARO	ES	Conceicao do Castelo	-	RUA SOUZA PINTO, 154, CENTRO, ,	-2.035.944	-4.123.833	3201704	Greenfield 	2G - 3G - 4G	700 - 850 - 900
1000005060	CLARO	AL	Maceio	PAJUCARA	R DESEMBARGADOR ALMEIDA GUIMARAES, 175,	-96.725	-3.571.752	2704302	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000008514	VIVO	SP	Sao Bernardo do Campo	ALVARENGA	ESTRADA DA CAMA PATENTE, 800, S N,	-23.746.072	-46.595.733	3548708	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2500 - 3500
1000009421	TIM	PR	Icaraima	CENTRO	RUA FRANCISCA B GARDEAL, 660, AIM003B3	-23.396.113	-53.621.683	4109906	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800
1000011361	TIM	RS	Porto Alegre	Anchieta	RUA FERNANDO FERRARI, 1001, EM AQUISICAO	-29.978.383	-51.167.916	4314902	Nao Informada	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000011825	VIVO	SP	Sao Paulo	PINHEIROS	Rua Capote Valente, 500, Hotel Pathernon Condominio Edificio The Excellence Flat	-2.355.694	-4.667.556	3550308	Greenfield Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2300 - 2500 - 3500
1000011868	VIVO	SP	Sao Paulo	Chacara Santo Antonio (Zona Leste)	RUA REBOUJO, 62 CONDOMINIO EDIFICIO TEQUEST POINT II, S N,	-23.550.047	-46.552.481	3550308	Greenfield Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000012430	VIVO	SP	Nova Luzitania	CENTRO	RUA LISBOA, 500,	-20.855.722	-50.263.444	3533304	Greenfield 	2G - 3G - 4G	700 - 850 - 1800
1000015545	VIVO	MG	Montes Claros	SAO JOSE	RUA SANTA RITA DE CASSIA, 952,	-1.671.931	-4.385.525	3143302	Ran Sharing Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000015669	TIM	SP	Ribeirao Preto	RIBEIRANIA	Avenida Presidente Kennedy, 2064,	-21.198.861	-47.764.917	3543402	Nao Informada	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 2500 - 3500
1000015715	VIVO	GO	Goiania	Jardim Goias	AVENIDA JAMEL CECILIO, 3300, RBR-NAO	-16.709.181	-49.236.225	5208707	Greenfield 	3G - 4G	700 - 850 - 1800 - 2500
1000016231	TIM	MG	Alfenas	LOTEAMENTO DO TREVO	AVENIDA B, S N, AQUISITADO	-21.448.861	-45.948.889	3101607	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 3500
1000017017	TIM	RS	Canoas	NITEROI	Rua Garibaldi, 954, -	-29.955.944	-51.166.528	4304606	Greenfield 	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2300 - 2500 - 3500
1000017025	TIM	BA	Simoes Filho	CIA SUL	Rua Via Periferica Ii, 2185, 0	-12.811.139	-38.443.333	2930709	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 900 - 1800 - 2100 - 2500 - 3500
1000017564	TIM	RJ	Rio de Janeiro	BARRA DA TIJUCA	AVENIDA LUCIO COSTA, 2630,	-23.012.139	-43.321.639	3304557	Greenfield 	3G - 4G - 5G	700 - 1800 - 2100 - 3500
1000018951	VIVO	MG	Pecanha	QUARAL DE CIMA	RUA JUCA VILELA S N - MORRO DA TORRE DE TV, S N, TV TAQUARAL	-18.551.491	-42.551.894	3148608	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100 - 2500
1000019141	TIM	SP	Santana de Parnaiba	Fazendinha	RUA AMAZONAS, 210,	-23.411.972	-46.876.139	3547304	Greenfield 	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 2500 - 3500
1000019249	TIM	SP	Sao Caetano do Sul	Oswaldo Cruz	RUA RIO DE JANEIRO, 505,	-23.622.833	-46.565.528	3548807	Rooftop 	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 2500 - 3500
1000019257	VIVO	MG	Conselheiro Lafaiete	Paulo VI	AVENIDA VI, S N,	-2.069.139	-4.379.778	3118304	Greenfield Ran Sharing 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000019265	VIVO	MG	Contagem	KENNEDY	Ceasa MG Rodovia BR-040 km 688, S N,	-1.989.056	-4.404.389	3118601	Rooftop 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000020255	TIM	RN	Ipanguacu	-	Avenida Norte- Rn 118 ,S N,Centro, S N, -	-55.025	-3.685.667	2404705	Greenfield 	2G - 3G - 4G	700 - 850 - 1800
1000020336	VIVO	MG	Ouro Branco	INCONFIDENTES	AVENIDA MARIZA DE SOUZA MENDEZ, S N,	-2.051.333	-4.372.083	3145901	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2500
1000020344	VIVO	MG	Teofilo Otoni	Matinha	RUA RITA MARTINS TEIXEIRA, 474,	-1.784.639	-4.149.083	3168606	Greenfield Ran Sharing 	2G - 3G - 4G - 5G	700 - 850 - 900 - 2100 - 2500 - 3500
1000020360	VIVO	MG	Vicosa	Silvestre	RUA SEBASTIAO SOARES, S N,	-2.072.194	-4.286.167	3171303	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100 - 2500
